"mrun","rbd_cc","preferencia_postulante"
2375985,"8457_511000000113",5
2376149,"24327_811000000133",1
2376149,"24305_811000000133",2
2376149,"11678_811000000133",3
2376149,"24338_811000000133",4
2376149,"8457_811000000113",5
2378773,"24325_611000000133",1
2401170,"8421_231000000133",1
2401170,"24317_231000000133",2
2410423,"24305_811000000133",1
2410423,"24327_811000000133",2
2410423,"24329_811000000123",3
2411458,"8458_131000000133",1
2411458,"8424_131000000133",2
2411458,"24316_131000000133",3
2411458,"24327_131000000133",4
2424784,"8411_131000000133",1
2424784,"24300_131000000133",2
2424784,"8421_131000000133",3
2434973,"24307_411000000233",1
2434973,"11680_411000000133",2
2434973,"8455_411000000113",3
2434973,"24305_411000000133",4
2434973,"8434_411000000133",5
2435479,"24307_331000000133",1
2435479,"11680_331000000133",2
2435479,"24327_331000000133",3
2435479,"8457_341041005113",4
2446191,"24316_131000000133",1
2446191,"24327_131000000133",2
2446191,"24338_131000000133",3
2446191,"8458_131000000133",4
2446191,"8454_131000000123",5
2447025,"24327_131000000133",1
2447025,"24307_131000000133",2
2447025,"8425_131000000133",3
2447025,"11678_131000000133",4
2454957,"24327_511000000133",1
2454957,"24307_511000000233",2
2454957,"11680_511000000133",3
2462414,"24307_131000000133",1
2462414,"8458_131000000133",2
2462414,"8424_131000000133",3
2462414,"8429_131000000133",4
2462414,"24327_131000000133",5
2462782,"8427_131000000133",1
2462782,"8424_131000000133",2
2462782,"24316_131000000133",3
2472906,"24317_511000000133",1
2472906,"8421_511000000133",2
2491892,"8442_131000000233",1
2491892,"8458_131000000133",2
2502387,"11680_131000000133",1
2502387,"24327_131000000133",2
2502387,"11678_131000000133",3
2507665,"24327_811000000133",1
2507665,"24307_811000000133",2
2507665,"24329_811000000123",3
2527486,"8421_131000000133",1
2527486,"24300_131000000133",2
2550443,"8436_711000000133",1
2552141,"8411_131000000133",1
2552141,"24300_131000000133",2
2566455,"11680_231000000133",1
2566455,"24307_231000000133",2
2566455,"8442_231000000233",3
2566646,"8421_411000000133",1
2566646,"24317_411000000133",2
2566646,"8415_411000000133",3
2572357,"11680_711000000133",1
2572357,"11678_711000000133",2
2590198,"11680_411000000133",1
2590198,"24327_411000000133",2
2590198,"24305_411000000133",3
2590198,"24338_411000000133",4
2590198,"8438_411000000133",5
2608566,"11680_511000000133",1
2608566,"24305_511000000133",2
2616508,"24305_611000000133",1
2616508,"24311_611000000133",2
2616508,"24318_611000000133",3
2624064,"8411_361063009133",1
2624064,"8421_331000000133",2
2626105,"8411_131000000133",1
2626105,"24300_131000000133",2
2630149,"8455_511000000113",1
2630149,"8457_511000000113",2
2630149,"8449_511000000133",3
2630445,"8454_411000000123",1
2653799,"24327_231000000133",1
2653799,"8454_231000000123",2
2667594,"8449_711000000133",1
2667594,"24305_711000000133",2
2702638,"24305_131000000133",1
2702638,"8429_131000000133",2
2702638,"8430_131000000133",3
2705007,"24327_131000000133",1
2705007,"8427_131000000133",2
2705007,"8429_131000000133",3
2705007,"8430_131000000133",4
2705007,"24307_131000000133",5
2705007,"24305_131000000133",6
2705007,"24316_131000000133",7
2707616,"11680_231000000133",1
2707616,"24327_231000000133",2
2707616,"24338_231000000133",3
2707616,"24307_231000000133",4
2707616,"8442_231000000233",5
2715200,"8427_131000000133",1
2715200,"8424_131000000133",2
2715200,"8429_131000000133",3
2720424,"24300_231000000133",1
2727098,"11680_411000000133",1
2727098,"24307_411000000233",2
2727098,"24327_411000000133",3
2727098,"24305_411000000133",4
2727098,"8457_411000000113",5
2732201,"24316_131000000133",1
2732201,"8424_131000000133",2
2732201,"8429_131000000133",3
2732201,"24307_131000000133",4
2732201,"8442_131000000233",5
2763780,"24305_811000000133",1
2763780,"11680_811000000133",2
2767170,"24327_131000000133",1
2767170,"24307_131000000133",2
2767170,"24338_131000000133",3
2767170,"8429_131000000133",4
2779587,"8454_711000000123",1
